[2026-08-04T17:22:44.309620+00:00] 🚀 Initializing Async gRPC Streamer (Signal Handler Active)
[2026-08-04T17:22:44.309741+00:00]    Target: 127.0.0.1:50051 | Max FPS: 60.0 | Log File: /data/data/com.termux/files/home/Tordial-GS-_Manifold/Jiggler/telemetry.log
[2026-08-04T17:24:10.124547+00:00] 📊 [NOMINAL  ] [Batch #004753] FPS:  54.7 /  60.0 target | SIMD: 3.86ms (258.92 M/s) | Payload:  1.44 KB/s
[2026-08-04T17:24:11.136035+00:00] 📊 [NOMINAL  ] [Batch #004810] FPS:  56.3 /  60.0 target | SIMD: 1.94ms (516.00 M/s) | Payload:  1.49 KB/s
[2026-08-04T17:24:12.143980+00:00] 📊 [NOMINAL  ] [Batch #004867] FPS:  56.6 /  60.0 target | SIMD: 1.19ms (839.49 M/s) | Payload:  1.49 KB/s
[2026-08-04T17:24:13.147820+00:00] 📊 [NOMINAL  ] [Batch #004923] FPS:  55.8 /  60.0 target | SIMD: 2.23ms (448.26 M/s) | Payload:  1.47 KB/s
[2026-08-04T17:24:14.155765+00:00] 📊 [NOMINAL  ] [Batch #004979] FPS:  55.6 /  60.0 target | SIMD: 3.76ms (265.87 M/s) | Payload:  1.46 KB/s
[2026-08-04T17:24:15.162976+00:00] 📊 [NOMINAL  ] [Batch #005035] FPS:  55.6 /  60.0 target | SIMD: 2.45ms (408.80 M/s) | Payload:  1.47 KB/s
[2026-08-04T17:24:16.173044+00:00] 📊 [NOMINAL  ] [Batch #005091] FPS:  55.4 /  60.0 target | SIMD: 2.48ms (403.63 M/s) | Payload:  1.46 KB/s
[2026-08-04T17:24:17.173193+00:00] 📊 [NOMINAL  ] [Batch #005145] FPS:  54.0 /  60.0 target | SIMD: 3.45ms (290.26 M/s) | Payload:  1.42 KB/s
[2026-08-04T17:24:18.175963+00:00] 📊 [NOMINAL  ] [Batch #005200] FPS:  54.8 /  60.0 target | SIMD: 3.65ms (273.63 M/s) | Payload:  1.45 KB/s
[2026-08-04T17:24:19.188455+00:00] 📊 [NOMINAL  ] [Batch #005256] FPS:  55.3 /  60.0 target | SIMD: 3.78ms (264.86 M/s) | Payload:  1.46 KB/s
